ÆÚÊý,ºì1,ºì2,ºì3,ºì4,ºì5,ºì6,À¶1
17107,32,30,8,9,15,17,6
17106,31,20,25,12,15,27,2
17105,3,12,6,25,7,26,7
17104,1,14,23,30,20,15,14
17103,25,31,33,1,21,23,1
17102,10,14,4,20,18,8,11
17101,11,28,1,32,4,31,16
17100,23,4,7,18,24,8,2
17099,6,5,16,28,29,2,4
17098,4,27,22,30,33,19,1
17097,18,10,30,31,19,5,3
17096,12,19,2,6,29,11,6
17095,22,9,19,12,29,10,16
17094,31,28,8,11,19,13,6
17093,22,7,27,9,15,8,12
17092,29,10,33,18,19,32,9
17091,7,10,28,5,23,29,3
17090,33,16,22,10,1,7,9
17089,16,11,12,13,23,25,12
17088,22,18,7,29,23,9,6
17087,28,3,19,14,13,6,6
17086,5,6,13,3,22,20,7
17085,1,25,30,6,5,16,9
17084,11,5,1,22,24,20,2
17083,8,14,24,20,3,26,12
17082,14,21,18,28,29,25,10
17081,3,14,5,30,26,25,5
17080,24,12,16,1,22,20,8
17079,3,27,23,14,7,25,8
17078,18,24,22,7,5,19,16
17077,22,17,2,1,4,15,14
17076,4,1,8,15,14,9,13
17075,19,1,6,3,29,21,7
17074,6,23,16,31,30,2,2
17073,6,16,3,23,26,30,14
17072,23,11,26,30,6,14,2
17071,2,31,3,32,6,14,3
17070,25,1,22,6,14,26,12
17069,11,31,2,29,23,12,5
17068,2,30,22,10,31,6,15
17067,1,29,3,10,4,18,4
17066,26,1,4,17,6,19,3
17065,2,8,10,12,5,21,7
17064,16,10,24,2,28,22,15
17063,12,25,22,31,20,16,4
17062,26,31,22,24,7,1,10
17061,6,20,12,26,7,27,11
17060,26,10,13,24,5,31,4
17059,15,25,9,19,8,4,9
17058,1,9,28,22,32,13,11
17057,18,31,30,20,22,23,16
17056,13,21,14,18,19,28,6
17055,12,24,13,20,31,7,5
17054,9,2,33,28,23,3,8
17053,15,4,9,31,29,11,6
17052,31,8,18,24,7,29,7
17051,9,15,24,2,5,25,11
17050,27,12,20,29,10,24,7
17049,14,8,15,29,1,20,10
17048,9,14,15,19,5,8,7
17047,33,10,8,32,5,2,2
17046,4,13,26,32,23,14,10
17045,16,25,7,21,5,20,5
17044,8,31,16,19,32,21,6
17043,8,13,23,16,27,31,8
17042,23,2,7,4,10,1,4
17041,13,27,22,4,15,10,4
17040,33,28,19,23,29,15,4
17039,2,12,4,17,24,14,15
17038,1,4,13,8,24,27,5
17037,25,11,30,20,22,15,5
17036,10,24,2,27,1,5,15
17035,28,1,32,6,24,14,12
17034,19,32,4,8,33,7,13
17033,30,23,5,7,15,20,15
17032,24,27,31,15,5,8,11
17031,26,10,6,27,29,16,3
17030,9,23,30,7,1,20,2
17029,25,23,30,2,15,21,10
17028,7,8,12,30,13,22,9
17027,11,30,27,2,14,4,5
17026,30,19,10,3,12,27,8
17025,15,2,22,17,16,32,7
17024,25,21,9,29,31,26,13
17023,3,4,22,18,1,11,14
17022,16,18,6,15,2,32,15
17021,5,10,33,2,22,32,9
17020,31,12,4,8,33,10,10
17019,25,4,12,6,23,8,8
17018,1,31,25,2,17,3,9
17017,10,3,8,7,22,23,12
17016,8,29,27,5,16,22,2
17015,8,1,32,9,17,14,1
17014,18,6,20,31,23,8,13
17013,28,31,33,8,11,29,6
17012,11,16,24,10,15,14,7
17011,26,10,29,23,12,11,16
17010,28,5,30,25,8,19,7
17009,2,8,29,9,15,6,14
17008,28,13,15,7,29,27,13
17007,26,33,2,4,24,5,15
17006,26,29,4,2,8,33,8
17005,11,12,23,6,30,22,5
17004,30,27,5,17,13,26,7
17003,1,27,15,32,8,4,16
17002,24,32,23,19,25,15,3
17001,26,9,20,25,14,11,15
16153,9,16,25,7,29,24,6
16152,8,9,20,22,16,2,7
16151,11,6,20,22,16,33,7
16150,21,4,9,2,5,13,5
16149,32,26,23,20,3,33,7
16148,20,1,26,11,30,2,14
16147,14,28,31,32,18,4,12
16146,3,15,17,7,16,23,10
16145,1,3,7,12,19,20,6
16144,27,10,4,12,33,32,5
16143,9,6,24,23,25,33,13
16142,21,30,10,23,1,17,12
16141,24,21,4,17,13,15,15
16140,32,26,2,17,1,5,10
16139,28,19,26,30,6,1,3
16138,7,20,24,30,25,16,7
16137,32,15,10,6,1,9,14
16136,10,27,2,29,20,7,3
16135,33,20,2,8,18,10,12
16134,33,18,13,11,12,14,13
16133,15,22,21,27,33,16,15
16132,28,5,8,19,27,13,7
16131,19,18,25,27,10,4,2
16130,23,17,27,21,3,28,1
16129,33,6,8,31,5,21,14
16128,11,9,27,26,4,17,13
16127,17,12,7,29,31,26,16
16126,12,18,6,2,19,17,10
16125,1,8,6,30,20,27,3
16124,32,21,9,15,27,24,10
16123,9,20,12,27,14,7,16
16122,15,28,23,29,22,24,8
16121,28,23,2,10,25,3,9
16120,6,21,28,25,2,5,9
16119,9,32,30,21,19,31,4
16118,14,33,31,23,9,22,14
16117,17,14,10,28,33,3,2
16116,20,7,27,23,18,31,13
16115,22,27,20,26,8,6,9
16114,16,22,29,5,20,27,9
16113,11,26,1,16,17,20,14
16112,15,12,25,6,18,14,12
16111,15,14,4,32,7,2,4
16110,32,28,5,31,7,33,8
16109,11,16,15,33,9,27,5
16108,3,7,26,19,2,8,16
16107,11,26,32,18,27,6,1
16106,13,4,30,22,5,25,4
16105,8,27,28,31,19,10,16
16104,9,18,30,11,31,5,4
16103,27,13,24,19,1,5,11
16102,10,30,5,14,8,17,13
16101,33,24,19,3,32,1,1
16100,23,3,10,22,29,27,4
16099,1,11,33,21,27,23,6
16098,2,32,8,29,25,31,6
16097,28,13,25,26,31,6,1
16096,6,14,21,22,24,13,16
16095,12,1,9,18,5,32,12
16094,7,6,31,18,10,12,10
16093,6,25,17,9,27,15,9
16092,2,23,13,24,29,15,6
16091,22,14,4,23,28,8,7
16090,26,2,21,20,13,17,7
16089,31,1,14,30,32,3,8
16088,14,33,25,3,16,18,15
16087,14,11,10,3,2,21,12
16086,12,10,32,11,15,9,5
16085,25,12,19,20,21,1,16
16084,24,2,18,12,4,26,5
16083,30,9,17,31,16,24,4
16082,20,15,12,17,6,14,9
16081,15,2,30,25,32,6,7
16080,17,24,25,16,32,1,14
16079,10,12,24,28,1,3,2
16078,4,2,29,23,26,8,2
16077,29,19,17,9,20,1,10
16076,8,22,30,32,13,7,1
16075,29,6,16,1,3,32,7
16074,11,10,12,6,20,25,12
16073,12,11,16,9,15,20,13
16072,25,19,5,16,24,22,2
16071,29,28,21,26,19,32,1
16070,6,3,11,29,23,18,1
16069,11,21,27,20,10,8,11
16068,28,19,8,23,31,32,1
16067,9,18,31,13,27,20,4
16066,13,7,20,3,18,19,5
16065,13,26,16,27,22,25,14
16064,26,12,19,17,3,14,3
16063,28,18,17,23,32,16,7
16062,19,21,12,18,13,15,9
16061,5,20,6,32,18,8,8
16060,5,22,29,4,26,32,8
16059,28,4,25,20,11,12,15
16058,18,3,5,20,24,32,11
16057,26,19,23,22,12,7,11
16056,18,11,3,16,4,8,14
16055,16,10,22,26,5,6,11
16054,16,11,28,19,32,6,4
16053,8,31,29,10,12,2,1
16052,13,28,19,1,24,6,16
16051,33,9,15,1,4,2,12
16050,28,29,9,24,12,30,2
16049,8,13,6,14,22,27,10
16048,15,8,13,14,3,30,4
16047,5,8,22,2,17,15,16
16046,30,25,20,26,7,27,14
16045,4,32,17,9,30,12,3
16044,10,30,3,12,18,1,1
16043,30,26,20,33,5,14,12
16042,17,31,7,23,26,14,9
16041,18,21,12,22,24,17,4
16040,23,19,20,3,13,26,3
16039,7,1,19,18,27,3,16
16038,12,22,13,29,3,28,3
16037,31,33,32,6,15,26,16
16036,20,22,4,7,3,9,3
16035,19,29,13,4,26,20,11
16034,15,28,21,22,3,23,15
16033,6,17,20,18,29,27,15
16032,14,15,8,27,21,12,15
16031,3,10,19,8,33,26,3
16030,22,14,19,25,10,29,12
16029,18,20,21,27,12,15,15
16028,25,29,21,12,6,8,1
16027,11,15,13,17,19,31,5
16026,30,9,12,4,28,33,1
16025,11,4,30,12,24,17,12
16024,2,5,7,31,14,18,13
16023,3,29,25,6,10,19,7
16022,23,22,30,19,4,9,7
16021,13,11,22,26,24,9,5
16020,1,12,22,10,2,24,10
16019,6,17,13,16,30,23,10
16018,14,17,13,21,25,12,4
16017,20,8,30,5,22,6,5
16016,22,20,1,25,26,24,16
16015,26,22,25,14,1,2,7
16014,2,10,27,20,8,18,7
16013,21,22,31,7,26,12,1
16012,32,12,16,7,14,27,15
16011,22,29,10,3,8,15,12
16010,12,14,2,4,25,19,6
16009,27,14,24,25,32,10,4
16008,29,33,15,2,32,24,2
16007,12,20,14,27,29,5,6
16006,31,16,28,18,20,13,12
16005,20,31,11,14,18,33,14
16004,8,22,10,17,25,33,12
16003,10,14,26,28,23,1,1
16002,9,14,30,17,24,20,16
16001,18,22,20,16,13,6,13
15154,25,11,18,7,15,9,7
15153,11,15,27,8,29,22,3
15152,18,32,11,19,21,29,12
15151,32,5,6,31,23,8,11
15150,8,1,3,31,11,29,13
15149,9,21,33,10,22,20,9
15148,14,9,27,26,13,22,7
15147,23,30,8,9,16,24,5
15146,17,28,16,30,32,21,15
15145,8,7,19,24,15,20,13
15144,7,32,15,4,28,1,16
15143,20,15,19,13,21,32,4
15142,22,13,17,20,19,25,11
15141,28,25,3,8,19,27,2
15140,28,30,29,20,6,31,12
15139,13,18,25,1,10,27,9
15138,8,1,24,16,19,2,11
15137,27,31,28,14,22,23,12
15136,5,28,12,2,29,23,1
15135,14,18,1,26,32,12,7
15134,14,19,27,5,31,2,4
15133,24,3,2,20,22,13,15
15132,3,28,11,5,30,33,1
15131,10,22,13,26,19,12,3
15130,15,17,6,22,14,16,10
15129,5,8,16,27,11,18,4
15128,8,11,22,1,28,3,6
15127,22,7,19,27,33,10,6
15126,23,10,29,15,20,11,12
15125,27,30,13,33,22,5,10
15124,3,27,2,5,18,12,1
15123,22,5,28,9,12,8,7
15122,22,5,16,25,11,7,7
15121,3,21,20,1,29,28,12
15120,21,24,29,16,27,26,16
15119,31,23,18,2,10,8,8
15118,21,1,23,31,11,4,12
15117,11,4,26,12,32,18,12
15116,23,15,4,26,6,28,11
15115,7,1,32,24,14,8,3
15114,13,21,26,4,7,9,1
15113,27,7,5,19,1,8,12
15112,3,27,10,19,20,1,11
15111,20,16,14,30,8,18,12
15110,16,5,22,7,23,17,4
15109,33,16,9,1,32,8,13
15108,2,24,12,27,22,19,15
15107,7,18,21,25,16,14,8
15106,31,32,3,4,1,23,13
15105,10,9,26,19,16,20,12
15104,23,21,9,18,26,25,1
15103,30,32,8,6,13,26,14
15102,7,14,12,23,9,21,6
15101,22,16,29,28,24,8,5
15100,19,21,3,11,17,2,8
15099,7,14,22,11,6,10,9
15098,26,9,13,27,33,6,1
15097,14,27,20,12,9,26,4
15096,31,23,24,16,17,6,7
15095,30,28,31,4,15,21,4
15094,16,6,17,4,13,1,10
15093,31,1,25,21,13,3,8
15092,27,26,9,19,21,15,1
15091,17,22,7,5,19,31,11
15090,12,33,22,10,25,14,15
15089,28,14,29,19,12,27,1
15088,2,12,29,31,20,24,9
15087,20,15,9,28,19,16,11
15086,6,5,18,16,8,22,12
15085,25,8,2,28,27,29,5
15084,29,28,15,20,22,18,15
15083,18,7,6,32,16,29,5
15082,14,9,2,28,30,8,7
15081,31,28,13,22,20,26,13
15080,30,14,25,17,27,28,2
